temperature	genotype	region	eggs	hatched	survival
20	CH	tropical	20	20	1
20	CH	tropical	20	17	0.85
20	CH	tropical	20	20	1
20	CH	tropical	20	19	0.95
20	CH	tropical	20	19	0.95
25	CH	tropical	20	17	0.85
25	CH	tropical	20	15	0.75
25	CH	tropical	20	12	0.6
25	CH	tropical	20	20	1
30	CH	tropical	20	12	0.6
30	CH	tropical	20	14	0.7
30	CH	tropical	20	16	0.8
33	CH	tropical	20	19	0.95
33	CH	tropical	20	20	1
34	CH	tropical	20	19	0.95
34	CH	tropical	20	18	0.9
34	CH	tropical	20	18	0.9
34	CH	tropical	20	18	0.9
34	CH	tropical	20	19	0.95
35	CH	tropical	20	14	0.7
35	CH	tropical	20	13	0.65
35	CH	tropical	20	8	0.4
36	CH	tropical	20	8	0.4
36	CH	tropical	20	8	0.4
36	CH	tropical	20	11	0.55
36	CH	tropical	20	12	0.6
36	CH	tropical	20	11	0.55
36	CH	tropical	20	12	0.6
36	CH	tropical	20	8	0.4
36	CH	tropical	20	15	0.75
38	CH	tropical	20	1	0.05
38	CH	tropical	20	0	0
38	CH	tropical	20	0	0
38	CH	tropical	20	1	0.05
40	CH	tropical	20	2	0.1
40	CH	tropical	20	1	0.05
40	CH	tropical	20	1	0.05
40	CH	tropical	20	3	0.15
44	CH	tropical	20	0	0
44	CH	tropical	20	0	0
44	CH	tropical	20	0	0
44	CH	tropical	20	0	0
44	CH	tropical	20	0	0
20	GH	tropical	20	18	0.9
20	GH	tropical	20	14	0.7
20	GH	tropical	20	12	0.6
20	GH	tropical	20	14	0.7
20	GH	tropical	20	15	0.75
30	GH	tropical	20	14	0.7
30	GH	tropical	20	12	0.6
33	GH	tropical	20	16	0.8
33	GH	tropical	20	16	0.8
33	GH	tropical	20	15	0.75
33	GH	tropical	20	17	0.85
33	GH	tropical	20	17	0.85
33	GH	tropical	20	17	0.85
34	GH	tropical	20	14	0.7
34	GH	tropical	20	10	0.5
34	GH	tropical	20	11	0.55
34	GH	tropical	20	9	0.45
35	GH	tropical	20	12	0.6
35	GH	tropical	20	11	0.55
35	GH	tropical	20	10	0.5
35	GH	tropical	20	13	0.65
35	GH	tropical	20	15	0.75
36	GH	tropical	20	0	0
36	GH	tropical	20	1	0.05
36	GH	tropical	20	5	0.25
36	GH	tropical	20	7	0.35
36	GH	tropical	20	9	0.45
36	GH	tropical	20	5	0.25
36	GH	tropical	20	7	0.35
36	GH	tropical	20	5	0.25
36	GH	tropical	20	3	0.15
38	GH	tropical	20	1	0.05
38	GH	tropical	20	1	0.05
38	GH	tropical	20	1	0.05
38	GH	tropical	20	1	0.05
38	GH	tropical	20	0	0
40	GH	tropical	20	0	0
40	GH	tropical	20	2	0.1
44	GH	tropical	20	0	0
44	GH	tropical	20	0	0
44	GH	tropical	20	0	0
44	GH	tropical	20	0	0
44	GH	tropical	20	0	0
20	MU	tropical	20	19	0.95
20	MU	tropical	20	20	1
20	MU	tropical	20	20	1
20	MU	tropical	20	16	0.8
20	MU	tropical	20	20	1
30	MU	tropical	20	15	0.75
30	MU	tropical	20	15	0.75
30	MU	tropical	20	13	0.65
30	MU	tropical	20	16	0.8
30	MU	tropical	20	14	0.7
33	MU	tropical	20	19	0.95
33	MU	tropical	20	18	0.9
33	MU	tropical	20	18	0.9
33	MU	tropical	20	18	0.9
33	MU	tropical	20	17	0.85
34	MU	tropical	20	19	0.95
34	MU	tropical	20	16	0.8
34	MU	tropical	20	19	0.95
34	MU	tropical	20	19	0.95
34	MU	tropical	20	19	0.95
36	MU	tropical	20	0	0
36	MU	tropical	20	2	0.1
36	MU	tropical	20	9	0.45
36	MU	tropical	20	8	0.4
36	MU	tropical	20	10	0.5
36	MU	tropical	20	10	0.5
36	MU	tropical	20	8	0.4
36	MU	tropical	20	11	0.55
38	MU	tropical	20	5	0.25
38	MU	tropical	20	2	0.1
38	MU	tropical	20	1	0.05
38	MU	tropical	20	1	0.05
38	MU	tropical	20	2	0.1
40	MU	tropical	20	8	0.4
40	MU	tropical	20	6	0.3
40	MU	tropical	20	8	0.4
40	MU	tropical	20	8	0.4
44	MU	tropical	20	0	0
44	MU	tropical	20	0	0
44	MU	tropical	20	0	0
44	MU	tropical	20	0	0
44	MU	tropical	20	0	0
20	SK	tropical	20	17	0.85
20	SK	tropical	20	20	1
20	SK	tropical	20	17	0.85
20	SK	tropical	20	17	0.85
20	SK	tropical	20	18	0.9
25	SK	tropical	20	14	0.7
25	SK	tropical	20	15	0.75
25	SK	tropical	20	17	0.85
25	SK	tropical	20	18	0.9
25	SK	tropical	20	17	0.85
25	SK	tropical	20	17	0.85
25	SK	tropical	20	20	1
25	SK	tropical	20	19	0.95
30	SK	tropical	20	14	0.7
30	SK	tropical	20	14	0.7
30	SK	tropical	20	18	0.9
30	SK	tropical	20	20	1
30	SK	tropical	20	18	0.9
30	SK	tropical	17	16	0.941176471
33	SK	tropical	20	18	0.9
33	SK	tropical	20	18	0.9
33	SK	tropical	20	17	0.85
33	SK	tropical	20	16	0.8
33	SK	tropical	20	16	0.8
33	SK	tropical	20	18	0.9
33	SK	tropical	20	14	0.7
33	SK	tropical	20	20	1
33	SK	tropical	20	19	0.95
34	SK	tropical	20	18	0.9
34	SK	tropical	20	18	0.9
34	SK	tropical	20	17	0.85
35	SK	tropical	20	8	0.4
35	SK	tropical	20	9	0.45
35	SK	tropical	20	11	0.55
35	SK	tropical	20	10	0.5
35	SK	tropical	20	12	0.6
35	SK	tropical	20	10	0.5
35	SK	tropical	20	11	0.55
35	SK	tropical	20	13	0.65
36	SK	tropical	20	2	0.1
36	SK	tropical	20	0	0
36	SK	tropical	20	0	0
36	SK	tropical	20	13	0.65
36	SK	tropical	20	8	0.4
36	SK	tropical	20	12	0.6
38	SK	tropical	20	3	0.15
38	SK	tropical	20	2	0.1
38	SK	tropical	20	3	0.15
38	SK	tropical	20	3	0.15
38	SK	tropical	20	0	0
38	SK	tropical	20	1	0.05
38	SK	tropical	20	2	0.1
38	SK	tropical	20	2	0.1
38	SK	tropical	20	0	0
40	SK	tropical	20	4	0.2
40	SK	tropical	20	2	0.1
44	SK	tropical	20	0	0
44	SK	tropical	20	0	0
44	SK	tropical	20	0	0
44	SK	tropical	20	0	0
33	GU	tropical	20	17	0.85
33	GU	tropical	20	17	0.85
33	GU	tropical	20	18	0.9
33	GU	tropical	20	10	0.5
35	GU	tropical	20	9	0.45
35	GU	tropical	20	15	0.75
35	GU	tropical	20	14	0.7
36	GU	tropical	20	3	0.15
38	GU	tropical	20	0	0
38	GU	tropical	20	2	0.1
38	GU	tropical	20	2	0.1
38	GU	tropical	20	0	0
38	GU	tropical	20	0	0
38	GU	tropical	20	0	0
38	GU	tropical	20	20	1
38	GU	tropical	20	0	0
38	GU	tropical	20	0	0
28	VTECK_10	temperate	20	18	0.9
28	VTECK_10	temperate	20	18	0.9
28	VTECK_10	temperate	19	17	0.894736842
28	VTECK_10	temperate	20	20	1
28	VTECK_10	temperate	18	18	1
30	VTECK_10	temperate	20	18	0.9
30	VTECK_10	temperate	20	18	0.9
30	VTECK_10	temperate	20	19	0.95
30	VTECK_10	temperate	20	19	0.95
30	VTECK_10	temperate	16	16	1
32	VTECK_10	temperate	20	19	0.95
32	VTECK_10	temperate	19	15	0.789473684
32	VTECK_10	temperate	12	11	0.916666667
32	VTECK_10	temperate	20	17	0.85
32	VTECK_10	temperate	10	10	1
34	VTECK_10	temperate	17	6	0.352941176
34	VTECK_10	temperate	20	18	0.9
34	VTECK_10	temperate	7	4	0.571428571
34	VTECK_10	temperate	7	3	0.428571429
34	VTECK_10	temperate	20	11	0.55
36	VTECK_10	temperate	20	0	0
36	VTECK_10	temperate	20	0	0
36	VTECK_10	temperate	20	0	0
36	VTECK_10	temperate	19	0	0
36	VTECK_10	temperate	20	0	0
38	VTECK_10	temperate	15	1	0.066666667
38	VTECK_10	temperate	18	0	0
38	VTECK_10	temperate	12	1	0.083333333
38	VTECK_10	temperate	10	1	0.1
38	VTECK_10	temperate	14	2	0.142857143
40	VTECK_10	temperate	20	0	0
40	VTECK_10	temperate	20	0	0
40	VTECK_10	temperate	20	0	0
40	VTECK_10	temperate	20	0	0
40	VTECK_10	temperate	20	0	0
32	VTECK_12	temperate	20	17	0.85
32	VTECK_12	temperate	20	18	0.9
32	VTECK_12	temperate	20	17	0.85
32	VTECK_12	temperate	20	18	0.9
32	VTECK_12	temperate	20	19	0.95
34	VTECK_12	temperate	20	12	0.6
34	VTECK_12	temperate	20	11	0.55
34	VTECK_12	temperate	20	9	0.45
34	VTECK_12	temperate	20	12	0.6
34	VTECK_12	temperate	20	10	0.5
36	VTECK_12	temperate	20	1	0.05
36	VTECK_12	temperate	20	3	0.15
36	VTECK_12	temperate	20	1	0.05
36	VTECK_12	temperate	20	1	0.05
36	VTECK_12	temperate	20	1	0.05
38	VTECK_12	temperate	20	0	0
38	VTECK_12	temperate	20	0	0
38	VTECK_12	temperate	22	1	0.045454545
38	VTECK_12	temperate	20	0	0
38	VTECK_12	temperate	20	0	0
28	VTECK_14	temperate	20	19	0.95
28	VTECK_14	temperate	20	19	0.95
28	VTECK_14	temperate	20	19	0.95
28	VTECK_14	temperate	20	19	0.95
28	VTECK_14	temperate	20	16	0.8
30	VTECK_14	temperate	20	18	0.9
30	VTECK_14	temperate	19	18	0.947368421
30	VTECK_14	temperate	20	19	0.95
30	VTECK_14	temperate	20	20	1
30	VTECK_14	temperate	20	19	0.95
32	VTECK_14	temperate	20	19	0.95
32	VTECK_14	temperate	20	19	0.95
32	VTECK_14	temperate	20	20	1
